Expediente Caso;Expediente Víctima;CAVD;Comuna Delito;Fecha Ingreso;Mes Ingreso;Año Ingreso;Fecha Finalización;Mes Finalización;Año Finalización
CBL0420;VBL0128;35 Los Angeles;Los Angeles;30-08-2019;8;2019;30-08-2019;8;2019
CBL0422;VBL0130;35 Los Angeles;Los Angeles;24-09-2019;9;2019;30-09-2019;9;2019
CBL0422;VBL0131;35 Los Angeles;Los Angeles;24-09-2019;9;2019;27-09-2019;9;2019
CBL0423;VBL0129;35 Los Angeles;Cabrero;24-09-2019;9;2019;25-09-2019;9;2019
CBL0423;VBL0132;35 Los Angeles;Cabrero;25-09-2019;9;2019;27-09-2019;9;2019
CBL0423;VBL0133;35 Los Angeles;Cabrero;25-09-2019;9;2019;25-09-2019;9;2019
CBL0425;VBL0134;35 Los Angeles;Los Angeles;27-09-2019;9;2019;27-09-2019;9;2019
CBL0425;VBL0135;35 Los Angeles;Los Angeles;27-09-2019;9;2019;27-09-2019;9;2019
CBL0426;VBL0136;35 Los Angeles;Los Angeles;30-09-2019;9;2019;30-09-2019;9;2019
CBL0427;VBL0137;35 Los Angeles;Mulchén;14-10-2019;10;2019;14-10-2019;10;2019
CBL0430;VBL0142;35 Los Angeles;Yumbel;27-12-2019;12;2019;09-01-2020;1;2020
CBL0436;VBL0143;35 Los Angeles;Los Angeles;12-02-2020;2;2020;12-02-2020;2;2020
CBL0448;VBL0144;35 Los Angeles;Quilleco;29-04-2020;4;2020;04-05-2020;5;2020
CBL0448;VBL0147;35 Los Angeles;Quilleco;30-04-2020;4;2020;04-05-2020;5;2020
CBL0452;VBL0148;35 Los Angeles;Los Angeles;12-05-2020;5;2020;12-05-2020;5;2020
CBL0466;VBL0149;35 Los Angeles;Los Angeles;07-07-2020;7;2020;07-07-2020;7;2020
CBL0466;VBL0150;35 Los Angeles;Los Angeles;07-07-2020;7;2020;07-07-2020;7;2020
CBL0467;VBL0151;35 Los Angeles;Los Angeles;10-07-2020;7;2020;10-07-2020;7;2020
CBL0467;VBL0152;35 Los Angeles;Los Angeles;10-07-2020;7;2020;10-07-2020;7;2020
CBL0467;VBL0153;35 Los Angeles;Los Angeles;10-07-2020;7;2020;10-07-2020;7;2020
CBL0470;VBL0155;35 Los Angeles;Los Angeles;30-09-2020;9;2020;05-10-2020;10;2020
CBL0472;VBL0154;35 Los Angeles;Los Angeles;30-09-2020;9;2020;30-09-2020;9;2020
CBL0487;VBL0156;35 Los Angeles;Los Angeles;12-04-2021;4;2021;19-04-2021;4;2021
CBL0487;VBL0157;35 Los Angeles;Los Angeles;12-04-2021;4;2021;16-04-2021;4;2021
CBL0496;VBL0158;35 Los Angeles;Los Angeles;07-07-2021;7;2021;09-07-2021;7;2021
CBL0496;VBL0159;35 Los Angeles;Los Angeles;07-07-2021;7;2021;09-07-2021;7;2021
CBL0499;VBL0160;35 Los Angeles;Negrete;07-07-2021;7;2021;15-07-2021;7;2021
CBL0499;VBL0161;35 Los Angeles;Negrete;07-07-2021;7;2021;26-07-2021;7;2021
CBL0501;VBL0162;35 Los Angeles;Los Angeles;26-07-2021;7;2021;26-07-2021;7;2021
CBL0510;VBL0163;35 Los Angeles;Los Angeles;07-12-2021;12;2021;07-12-2021;12;2021
CBL0521;VBL0164;35 Los Angeles;Yumbel;03-02-2022;2;2022;04-02-2022;2;2022
CBL0528;VBL0165;35 Los Angeles;Mulchén;14-03-2022;3;2022;22-03-2022;3;2022
CBL0528;VBL0166;35 Los Angeles;Mulchén;14-03-2022;3;2022;22-03-2022;3;2022
CBL0528;VBL0167;35 Los Angeles;Mulchén;14-03-2022;3;2022;22-03-2022;3;2022
CBL0544;VBL0168;35 Los Angeles;Los Angeles;09-05-2022;5;2022;09-05-2022;5;2022
CBL0544;VBL0169;35 Los Angeles;Los Angeles;09-05-2022;5;2022;09-05-2022;5;2022
CBL0546;VBL0170;35 Los Angeles;Los Angeles;16-05-2022;5;2022;16-05-2022;5;2022
CBL0549;VBL0171;35 Los Angeles;Santa Bárbara;02-06-2022;6;2022;02-06-2022;6;2022
CBL0551;VBL0172;35 Los Angeles;Cabrero;10-06-2022;6;2022;10-06-2022;6;2022
CBL0565;VBL0173;35 Los Angeles;Los Angeles;02-08-2022;8;2022;02-08-2022;8;2022
CBL0574;VBL0179;35 Los Angeles;Los Angeles;01-09-2022;9;2022;01-09-2022;9;2022
CBL0575;VBL0174;35 Los Angeles;Los Angeles;01-09-2022;9;2022;01-09-2022;9;2022
CBL0575;VBL0178;35 Los Angeles;Los Angeles;01-09-2022;9;2022;01-09-2022;9;2022
CBL0580;VBL0180;35 Los Angeles;Los Angeles;14-09-2022;9;2022;14-09-2022;9;2022
CBL0580;VBL0181;35 Los Angeles;Los Angeles;14-09-2022;9;2022;14-09-2022;9;2022
CBL0580;VBL0182;35 Los Angeles;Los Angeles;14-09-2022;9;2022;14-09-2022;9;2022
CBL0581;VBL0183;35 Los Angeles;Los Angeles;23-09-2022;9;2022;23-09-2022;9;2022
NULL;VIIR11962;36 Angol;Angol;17-02-2014;2;2014;17-02-2014;2;2014
NULL;VIIR12045;36 Angol;Temuco;28-02-2014;2;2014;28-02-2014;2;2014
NULL;VIIR12372;36 Angol;Angol;24-03-2014;3;2014;24-03-2014;3;2014
NULL;VIIR12661;36 Angol;Ercilla;08-04-2014;4;2014;08-04-2014;4;2014
NULL;VIIR12662;36 Angol;Collipulli;08-04-2014;4;2014;08-04-2014;4;2014
NULL;VIIR13987;36 Angol;Angol;26-05-2014;5;2014;26-05-2014;5;2014
NULL;VIIR14298;36 Angol;Vallenar;13-06-2014;6;2014;13-06-2014;6;2014
NULL;VIIR14401;36 Angol;Estación Central;30-06-2014;6;2014;30-06-2014;6;2014
NULL;VIIR14532;36 Angol;Curacautín;16-07-2014;7;2014;16-07-2014;7;2014
NULL;VIIR14533;36 Angol;Santiago;10-07-2014;7;2014;10-07-2014;7;2014
NULL;VIIR14656;36 Angol;Santiago;23-07-2014;7;2014;23-07-2014;7;2014
NULL;VIIR14847;36 Angol;Collipulli;04-08-2014;8;2014;04-08-2014;8;2014
NULL;VIIR14848;36 Angol;Temuco;04-08-2014;8;2014;04-08-2014;8;2014
NULL;VIIR14903;36 Angol;Perquenco;26-08-2014;8;2014;26-08-2014;8;2014
NULL;VIIR15013;36 Angol;Linares;08-09-2014;9;2014;08-09-2014;9;2014
NULL;VIIR15093;36 Angol;Collipulli;15-09-2014;9;2014;15-09-2014;9;2014
NULL;VIIR15094;36 Angol;San Miguel;08-09-2014;9;2014;08-09-2014;9;2014
NULL;VIIR15234;36 Angol;Temuco;26-09-2014;9;2014;26-09-2014;9;2014
NULL;VIIR15235;36 Angol;Arauco;26-09-2014;9;2014;26-09-2014;9;2014
NULL;VIIR15236;36 Angol;Lautaro;26-09-2014;9;2014;26-09-2014;9;2014
NULL;VIIR15237;36 Angol;Isla de Maipo;22-09-2014;9;2014;22-09-2014;9;2014
NULL;VIIR15355;36 Angol;Pucón;13-10-2014;10;2014;13-10-2014;10;2014
NULL;VIIR15371;36 Angol;Collipulli;10-10-2014;10;2014;10-10-2014;10;2014
NULL;VIIR15372;36 Angol;La Florida;10-10-2014;10;2014;10-10-2014;10;2014
NULL;VIIR15614;36 Angol;Collipulli;12-11-2014;11;2014;12-11-2014;11;2014
NULL;VIIR15615;36 Angol;Santiago;13-11-2014;11;2014;13-11-2014;11;2014
NULL;VIIR16011;36 Angol;Angol;19-12-2014;12;2014;19-12-2014;12;2014
NULL;VIIR16012;36 Angol;Santiago;07-01-2015;1;2015;07-01-2015;1;2015
NULL;VIIR16028;36 Angol;Punta Arenas;29-10-2014;10;2014;29-10-2014;10;2014
NULL;VIIR16053;36 Angol;Osorno;12-01-2015;1;2015;12-01-2015;1;2015
NULL;VIIR16457;36 Angol;Punta Arenas;17-02-2015;2;2015;17-02-2015;2;2015
NULL;VIIR16531;36 Angol;Palmilla;19-02-2015;2;2015;19-02-2015;2;2015
NULL;VIIR16868;36 Angol;Chimbarongo;25-03-2015;3;2015;25-03-2015;3;2015
NULL;VIIR16875;36 Angol;Linares;25-03-2015;3;2015;25-03-2015;3;2015
NULL;VIIR17049;36 Angol;San Bernardo;31-03-2015;3;2015;31-03-2015;3;2015
NULL;VIIR17128;36 Angol;Puerto Natales;17-04-2015;4;2015;17-04-2015;4;2015
NULL;VIIR17425;36 Angol;San Pedro de la Paz;13-04-2015;4;2015;13-04-2015;4;2015
NULL;VIIR17543;36 Angol;Vallenar;20-05-2015;5;2015;20-05-2015;5;2015
NULL;VIIR17568;36 Angol;Copiapó;25-05-2015;5;2015;25-05-2015;5;2015
NULL;VIIR17654;36 Angol;Colina;28-05-2015;5;2015;28-05-2015;5;2015
NULL;VIIR17791;36 Angol;El Bosque;05-06-2015;6;2015;05-06-2015;6;2015
NULL;VIIR17957;36 Angol;Curicó;24-06-2015;6;2015;24-06-2015;6;2015
NULL;VIIR17958;36 Angol;Maule;25-06-2015;6;2015;25-06-2015;6;2015
NULL;VIIR18004;36 Angol;San Antonio;13-05-2015;5;2015;13-05-2015;5;2015
NULL;VIIR18093;36 Angol;Curicó;19-06-2015;6;2015;19-06-2015;6;2015
NULL;VIIR18217;36 Angol;Río Claro;13-07-2015;7;2015;13-07-2015;7;2015
NULL;VIIR18756;36 Angol;Futrono;14-09-2015;9;2015;16-09-2015;9;2015
NULL;VIIR18778;36 Angol;Victoria;21-09-2015;9;2015;23-09-2015;9;2015
NULL;VIIR18779;36 Angol;Linares;17-09-2015;9;2015;19-09-2015;9;2015
NULL;VIIR18780;36 Angol;Renaico;21-09-2015;9;2015;23-09-2015;9;2015
NULL;VIIR18782;36 Angol;Arica;10-09-2015;9;2015;12-09-2015;9;2015
NULL;VIIR19189;36 Angol;Iquique;30-07-2015;7;2015;01-08-2015;8;2015
NULL;VIIR19198;36 Angol;Santiago;06-10-2015;10;2015;08-10-2015;10;2015
NULL;VIIR19285;36 Angol;San Bernardo;04-11-2015;11;2015;06-11-2015;11;2015
NULL;VIIR19414;36 Angol;Rancagua;19-11-2015;11;2015;21-11-2015;11;2015
NULL;VIIR19763;36 Angol;Puyehue;04-01-2016;1;2016;06-01-2016;1;2016
NULL;VIIR20128;36 Angol;San Felipe;01-02-2016;2;2016;03-02-2016;2;2016
NULL;VIIR20213;36 Angol;Quinta Normal;09-02-2016;2;2016;11-02-2016;2;2016
NULL;VIIR20422;36 Angol;Santiago;04-03-2016;3;2016;06-03-2016;3;2016
NULL;VIIR20423;36 Angol;Temuco;07-03-2016;3;2016;09-03-2016;3;2016
NULL;VIIR20424;36 Angol;Temuco;29-02-2016;2;2016;02-03-2016;3;2016
NULL;VIIR20425;36 Angol;La Pintana;29-02-2016;2;2016;02-03-2016;3;2016
NULL;VIIR20729;36 Angol;Santiago;29-03-2016;3;2016;31-03-2016;3;2016
NULL;VIIR21027;36 Angol;Temuco;25-04-2016;4;2016;27-04-2016;4;2016
NULL;VIIR21028;36 Angol;Yerbas Buenas;25-04-2016;4;2016;27-04-2016;4;2016
NULL;VIIR21029;36 Angol;Linares;25-04-2016;4;2016;27-04-2016;4;2016
NULL;VIIR21030;36 Angol;Copiapó;08-03-2016;3;2016;10-03-2016;3;2016
NULL;VIIR21229;36 Angol;Laja;17-05-2016;5;2016;22-05-2016;5;2016
NULL;VIIR21412;36 Angol;Los Andes;23-05-2016;5;2016;28-05-2016;5;2016
NULL;VIIR21480;36 Angol;Quilpué;06-05-2016;5;2016;11-05-2016;5;2016
NULL;VIIR21653;36 Angol;Pudahuel;13-06-2016;6;2016;18-06-2016;6;2016
NULL;VIIR22613;36 Angol;Maipú;23-08-2016;8;2016;31-08-2016;8;2016
